Observation Date,Retail Sales Volume,Retail Price,ACV Distribution,Competition,EDLP,Trade Any Promo,TV,Print,Online Display,Pre-roll Video,Paid Search,Public Relations,FSI,Digital Coupon,Shopper Marketing
3/4/2016,3357951.169,5.303388649,65.23507534,2591385.781,86.405,98,65,1.21,11291654,79694,828413,5.730070048,25000000,304000,89882.91669
3/11/2016,3466776.758,5.291925607,65.39073052,2636477.307,78.8,91.09240739,65,1.25,9719634,82270,585933,0.175323468,25000000,106000,92502.66669
3/18/2016,3499225.567,5.287631982,65.4989223,2515431.451,79.19,89.97744525,0,1.25,4470770,80023,638030,0.175323468,25000000,286000,92502.66669
3/25/2016,3121445.328,5.307443532,65.50769344,2455179.083,60.125,59.13015919,0,1.25,2477330,84929,660599,0.175323468,25000000,0,92502.66669
4/1/2016,3020589.75,5.303587044,65.87525564,2597057.509,68.035,74.29364438,70,1.25,2844452,96456,613052,0.254401548,35000000,133000,92502.66669
4/8/2016,3425780.421,5.31343038,66.28252563,2391708.313,55.03,71.32041199,65,5,2535197,95673,604592,0.45209675,35000000,188000,333251.9167
4/15/2016,3195242.794,5.333355258,66.37133509,2470359.061,79.655,89.04831013,65,5,3884930,111120,861246,0.45209675,35000000,320000,333251.9167
4/22/2016,3163679.344,5.349235988,66.50260194,2456409.429,85.02,98.22816513,0,5,4434742,121582,860469,0.45209675,35000000,320000,333251.9167
4/29/2016,3136106.245,5.323672522,66.66983935,2477306.004,84.93,97.33619542,0,5,4691811,106703,840697,0.45209675,35000000,319000,333251.9167
5/6/2016,3000053.47,5.314195841,66.67524801,2586753.345,84.47,96,70,0,4038834,106562,1039737,57.17583066,35000000,365000,77488.13331
5/13/2016,3083960.633,5.309783573,67.21148158,2577154.231,81.245,84.36546911,65,0,4950837,108407,1155465,57.17583066,35000000,381000,77488.13331
5/20/2016,3086662.086,5.305074978,67.42258911,2742854.079,83.17,87.41303231,65,0,5752326,112683,847495,57.17583066,35000000,120000,77488.13331
5/27/2016,2556899.643,5.282786484,67.41323988,3037420.091,72.22,73.58750169,0,0,7602541,98877,798760,57.17583066,20000000,323000,77488.13331
6/3/2016,2447637.144,5.306554697,67.33332685,3041866.41,65.105,66.26591693,0,0,9538425,94413,1011420,27.89049541,20000000,361000,77488.13331
6/10/2016,2161173.207,5.29455982,67.28472808,3053520.003,2.935,9.923163107,70,1.25,8547389,173758,978781,5.926493977,20000000,315000,479985.9167
6/17/2016,2577397.413,5.292938987,67.06749583,2855068.646,81.61,99,65,1.25,7731598,207504,902012,5.926493977,20000000,28000,479985.9167
6/24/2016,2643564.146,5.300508873,67.31712455,2795973.35,79.13,99,65,1.25,10214619,192797,841410,5.926493977,0,15000,479985.9167
7/1/2016,2804253.32,5.315604028,67.15521831,2647348.816,79.795,98,0,1.25,5990711,221522,781993,21.2643145,0,208000,479985.9167
7/8/2016,2737722.293,5.327348339,66.77003311,2697398.985,60.8675,92.20736954,85,1,5170671,242723,686324,22.88046165,0,141500,162693.5333
7/15/2016,2856435.481,5.330938154,67.08674678,2748842.638,75.350625,96,85,1,7523767,245593,674987,24.60572049,0,98125,162693.5333
7/22/2016,2785925.648,5.324696672,67.38050546,2893029.353,73.78578125,97,85,1,9853154,338710,836443,26.46369155,0,115656.25,162693.5333
7/29/2016,2771247.016,5.323446231,67.63436288,2905568.433,80.555,97.8,85,1,12520883,358251,1267722,0.055389306,15000000,5000,136245.3167
8/5/2016,3086434.448,5.333389676,67.85173617,2792775.148,80.055,87.3,85,1,9539702,365158,1644741,0.055389306,15000000,59000,136245.3167
8/12/2016,2828905.889,5.33712236,67.88640785,2938649.692,82.64,95,0,1.25,6922607,419875,1197442,18.42511097,15000000,0,58038.89583
